layer,subpath,op_type,medianMs,name80
model.4,cv2,conv+SiLU fused,0.01184,"/model.4/cv2/conv/Conv + PWN(PWN(/model.4/cv2/act/Sigmoid), PWN(/model.4/cv2/act"
model.4,m,conv+SiLU fused,0.011296,"/model.4/m.0/cv2/conv/Conv + PWN(PWN(PWN(/model.4/m.0/cv2/act/Sigmoid), PWN(/mod"
model.4,m,conv+SiLU fused,0.01072,"/model.4/m.0/cv1/conv/Conv + PWN(PWN(/model.4/m.0/cv1/act/Sigmoid), PWN(/model.4"
model.4,cv1,conv+SiLU fused,0.009952,"/model.4/cv1/conv/Conv + PWN(PWN(/model.4/cv1/act/Sigmoid), PWN(/model.4/cv1/act"
model.4,Split_4,resize/concat,0.00752,/model.4/Split_4
model.4,Split_output_0,reformat/copy,0.00752,/model.4/Split_output_0 copy
model.4,Split_output_1,reformat/copy,0.007488,/model.4/Split_output_1 copy
model.4,m,reformat/copy,0.007456,/model.4/m.0/Add_output_0 copy
model.4,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.4/m.0/cv1/conv/Conv + PWN(PWN
model.4,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 1 to /model.4/m.0/cv2/conv/Conv + PWN(PWN
model.4,cv2,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.4/cv2/conv/Conv + PWN(PWN(/mo
model.5,conv,conv+SiLU fused,0.014048,"/model.5/conv/Conv + PWN(PWN(/model.5/act/Sigmoid), PWN(/model.5/act/Mul))"
model.6,m,conv+SiLU fused,0.010976,"/model.6/m.0/m/m.1/cv1/conv/Conv + PWN(PWN(/model.6/m.0/m/m.1/cv1/act/Sigmoid), "
model.6,m,conv+SiLU fused,0.010912,"/model.6/m.0/m/m.0/cv1/conv/Conv + PWN(PWN(/model.6/m.0/m/m.0/cv1/act/Sigmoid), "
model.6,m,conv only,0.010496,/model.6/m.0/m/m.0/cv2/conv/Conv
model.6,m,conv only,0.010432,/model.6/m.0/m/m.1/cv2/conv/Conv
model.6,cv1,conv+SiLU fused,0.009824,"/model.6/cv1/conv/Conv + PWN(PWN(/model.6/cv1/act/Sigmoid), PWN(/model.6/cv1/act"
model.6,cv2,conv+SiLU fused,0.009696,"/model.6/cv2/conv/Conv + PWN(PWN(/model.6/cv2/act/Sigmoid), PWN(/model.6/cv2/act"
model.6,m,conv+SiLU fused,0.00912,"/model.6/m.0/cv3/conv/Conv + PWN(PWN(/model.6/m.0/cv3/act/Sigmoid), PWN(/model.6"
model.6,m,conv only,0.008,/model.6/m.0/cv1/conv/Conv || /model.6/m.0/cv2/conv/Conv
model.6,Split_output_0,reformat/copy,0.006848,/model.6/Split_output_0 copy
model.6,Split_output_1,reformat/copy,0.006688,/model.6/Split_output_1 copy
model.6,m,standalone SiLU,0.006176,"PWN(PWN(PWN(/model.6/m.0/m/m.1/cv2/act/Sigmoid), PWN(/model.6/m.0/m/m.1/cv2/act/"
model.6,m,standalone SiLU,0.00592,"PWN(PWN(/model.6/m.0/cv1/act/Sigmoid), PWN(/model.6/m.0/cv1/act/Mul))"
model.6,m,standalone SiLU,0.00592,"PWN(PWN(PWN(/model.6/m.0/m/m.0/cv2/act/Sigmoid), PWN(/model.6/m.0/m/m.0/cv2/act/"
model.6,m,standalone SiLU,0.005888,"PWN(PWN(/model.6/m.0/cv2/act/Sigmoid), PWN(/model.6/m.0/cv2/act/Mul))"
model.6,m,reformat/copy,0.0,Reformatting CopyNode for Output Tensor 0 to /model.6/m.0/cv1/conv/Conv || /mode
model.6,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.6/m.0/m/m.0/cv1/conv/Conv + P
model.6,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.6/m.0/m/m.0/cv2/a
model.6,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.6/m.0/m/m.1/cv1/conv/Conv + P
model.6,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.6/m.0/m/m.1/cv2/a
model.6,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.6/m.0/cv3/conv/Conv + PWN(PWN
model.7,conv,conv+SiLU fused,0.012512,"/model.7/conv/Conv + PWN(PWN(/model.7/act/Sigmoid), PWN(/model.7/act/Mul))"
model.8,m,conv+SiLU fused,0.010912,"/model.8/m.0/m/m.0/cv1/conv/Conv + PWN(PWN(/model.8/m.0/m/m.0/cv1/act/Sigmoid), "
model.8,m,conv+SiLU fused,0.010624,"/model.8/m.0/m/m.1/cv1/conv/Conv + PWN(PWN(/model.8/m.0/m/m.1/cv1/act/Sigmoid), "
model.8,m,conv only,0.010496,/model.8/m.0/m/m.0/cv2/conv/Conv
model.8,m,conv only,0.010304,/model.8/m.0/m/m.1/cv2/conv/Conv
model.8,cv2,conv+SiLU fused,0.010112,"/model.8/cv2/conv/Conv + PWN(PWN(/model.8/cv2/act/Sigmoid), PWN(/model.8/cv2/act"
model.8,cv1,conv+SiLU fused,0.009472,"/model.8/cv1/conv/Conv + PWN(PWN(/model.8/cv1/act/Sigmoid), PWN(/model.8/cv1/act"
model.8,m,conv+SiLU fused,0.009344,"/model.8/m.0/cv3/conv/Conv + PWN(PWN(/model.8/m.0/cv3/act/Sigmoid), PWN(/model.8"
model.8,m,conv only,0.008832,/model.8/m.0/cv1/conv/Conv || /model.8/m.0/cv2/conv/Conv
model.8,Split_output_0,reformat/copy,0.006496,/model.8/Split_output_0 copy
model.8,Split_output_1,reformat/copy,0.00624,/model.8/Split_output_1 copy
model.8,m,standalone SiLU,0.005984,"PWN(PWN(PWN(/model.8/m.0/m/m.1/cv2/act/Sigmoid), PWN(/model.8/m.0/m/m.1/cv2/act/"
model.8,m,standalone SiLU,0.005888,"PWN(PWN(/model.8/m.0/cv1/act/Sigmoid), PWN(/model.8/m.0/cv1/act/Mul))"
model.8,m,standalone SiLU,0.005824,"PWN(PWN(PWN(/model.8/m.0/m/m.0/cv2/act/Sigmoid), PWN(/model.8/m.0/m/m.0/cv2/act/"
model.8,m,standalone SiLU,0.005792,"PWN(PWN(/model.8/m.0/cv2/act/Sigmoid), PWN(/model.8/m.0/cv2/act/Mul))"
model.9,cv2,conv only,0.009248,/model.9/cv2/conv/Conv
model.9,cv1,conv only,0.00832,/model.9/cv1/conv/Conv
model.9,m,maxpool,0.007904,/model.9/m/MaxPool
model.9,m_2,maxpool,0.007808,/model.9/m_2/MaxPool
model.9,m_1,maxpool,0.007776,/model.9/m_1/MaxPool
model.9,cv1,reformat/copy,0.006368,/model.9/cv1/conv/Conv_output_0 copy
model.9,m,reformat/copy,0.006304,/model.9/m/MaxPool_output_0 copy
model.9,m_1,reformat/copy,0.006272,/model.9/m_1/MaxPool_output_0 copy
model.9,cv2,standalone SiLU,0.006048,"PWN(PWN(PWN(/model.9/cv2/act/Sigmoid), PWN(/model.9/cv2/act/Mul)), PWN(/model.9/"
model.9,cv1,reformat/copy,0.0,Reformatting CopyNode for Output Tensor 0 to /model.9/cv1/conv/Conv
model.9,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.9/m/MaxPool
other/glue,,NMS/decode,0.034336,__myl_Topk_myl215_2
other/glue,,NMS/decode,0.009728,__myl_Topk_myl215_4
other/glue,,attention,0.007232,__myl_MaxrSubExpSum_myl85_2
other/glue,,attention,0.0072,__myl_DivMulTran_myl85_3
other/glue,,attention,0.0072,__myl_DivMulTran_myl170_3
