name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
/model.6/cv2/act/Mul_output_0 copy,0.00635609,0.006208,0.395258,model.6,cv2,False,False,False,False,False,other,False,PTQ
"/model.13/cv1/conv/Conv + PWN(PWN(/model.13/cv1/act/Sigmoid), PWN(/model.13/cv1/act/Mul))",0.00943173,0.009408,0.586519,model.13,cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.13/m.0/cv1/conv/Conv + PWN(PWN(/model.13/m.0/cv1/act/Sigmoid), PWN(/model.13/m.0/cv1/act/Mul))",0.00801064,0.008,0.498148,model.13,m.0/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.13/m.0/m/m.0/cv1/conv/Conv + PWN(PWN(/model.13/m.0/m/m.0/cv1/act/Sigmoid), PWN(/model.13/m.0/m/m.0/cv1/act/Mul))",0.00939502,0.009312,0.584236,model.13,m.0/m/m.0/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.13/m.0/m/m.0/cv2/conv/Conv,0.00917686,0.009184,0.57067,model.13,m.0/m/m.0/cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.13/m.0/m/m.0/cv2/act/Sigmoid), PWN(/model.13/m.0/m/m.0/cv2/act/Mul)), PWN(/model.13/m.0/m/m.0/Add))",0.00668519,0.006656,0.415724,model.13,m.0/m/m.0/cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
"/model.13/m.0/m/m.1/cv1/conv/Conv + PWN(PWN(/model.13/m.0/m/m.1/cv1/act/Sigmoid), PWN(/model.13/m.0/m/m.1/cv1/act/Mul))",0.00904798,0.009024,0.562655,model.13,m.0/m/m.1/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.13/m.0/m/m.1/cv2/conv/Conv,0.00884156,0.008832,0.549819,model.13,m.0/m/m.1/cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.13/m.0/m/m.1/cv2/act/Sigmoid), PWN(/model.13/m.0/m/m.1/cv2/act/Mul)), PWN(/model.13/m.0/m/m.1/Add))",0.00690169,0.00688,0.429187,model.13,m.0/m/m.1/cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
"/model.13/m.0/cv2/conv/Conv + PWN(PWN(/model.13/m.0/cv2/act/Sigmoid), PWN(/model.13/m.0/cv2/act/Mul))",0.00820581,0.008192,0.510284,model.13,m.0/cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.13/m.0/cv3/conv/Conv + PWN(PWN(/model.13/m.0/cv3/act/Sigmoid), PWN(/model.13/m.0/cv3/act/Mul))",0.00843562,0.008416,0.524576,model.13,m.0/cv3,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.13/Split_output_0 copy,0.00617231,0.006144,0.38383,model.13,,False,False,False,False,False,other,False,PTQ
/model.13/Split_output_1 copy,0.00613027,0.006112,0.381216,model.13,,False,False,False,False,False,other,False,PTQ
"/model.13/cv2/conv/Conv + PWN(PWN(/model.13/cv2/act/Sigmoid), PWN(/model.13/cv2/act/Mul))",0.00871018,0.008704,0.541649,model.13,cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.14/Resize,0.00728903,0.0072,0.453274,model.14,,False,False,False,False,False,other,False,PTQ
/model.14/Resize_output_0 copy,0.00732231,0.007232,0.455343,model.14,,False,False,False,False,False,other,False,PTQ
/model.4/cv2/act/Mul_output_0 copy,0.00721243,0.0072,0.448511,model.4,cv2,False,False,False,False,False,other,False,PTQ
"/model.16/cv1/conv/Conv + PWN(PWN(/model.16/cv1/act/Sigmoid), PWN(/model.16/cv1/act/Mul))",0.00952965,0.009536,0.592608,model.16,cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.16/m.0/cv1/conv/Conv + PWN(PWN(/model.16/m.0/cv1/act/Sigmoid), PWN(/model.16/m.0/cv1/act/Mul))",0.00849258,0.008448,0.528117,model.16,m.0/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.16/m.0/m/m.0/cv1/conv/Conv,0.0100499,0.010016,0.624961,model.16,m.0/m/m.0/cv1,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(/model.16/m.0/m/m.0/cv1/act/Sigmoid), PWN(/model.16/m.0/m/m.0/cv1/act/Mul))",0.00715497,0.007136,0.444937,model.16,m.0/m/m.0/cv1,False,False,True,True,False,standalone-SiLU,False,PTQ
/model.16/m.0/m/m.0/cv2/conv/Conv,0.00930619,0.00928,0.578712,model.16,m.0/m/m.0/cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.16/m.0/m/m.0/cv2/act/Sigmoid), PWN(/model.16/m.0/m/m.0/cv2/act/Mul)), PWN(/model.16/m.0/m/m.0/Add))",0.00769706,0.00768,0.478648,model.16,m.0/m/m.0/cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
/model.16/m.0/m/m.1/cv1/conv/Conv,0.00929041,0.00928,0.577731,model.16,m.0/m/m.1/cv1,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(/model.16/m.0/m/m.1/cv1/act/Sigmoid), PWN(/model.16/m.0/m/m.1/cv1/act/Mul))",0.00717482,0.007136,0.446172,model.16,m.0/m/m.1/cv1,False,False,True,True,False,standalone-SiLU,False,PTQ
/model.16/m.0/m/m.1/cv2/conv/Conv,0.00939891,0.009312,0.584478,model.16,m.0/m/m.1/cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.16/m.0/m/m.1/cv2/act/Sigmoid), PWN(/model.16/m.0/m/m.1/cv2/act/Mul)), PWN(/model.16/m.0/m/m.1/Add))",0.00744603,0.007424,0.463037,model.16,m.0/m/m.1/cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
"Reformatting CopyNode for Input Tensor 0 to /model.16/m.0/cv2/conv/Conv + PWN(PWN(/model.16/m.0/cv2/act/Sigmoid), PWN(/model.16/m.0/cv2/act/Mul))",0.00629971,0.006336,0.391752,model.16,m.0/cv2,True,False,True,True,True,reformat,False,PTQ
